time,satellite id,x in m,y in m,z in m,clock error,x-sdev,y-sdev,z-sdev,c-sdev
0,PG05,-25007.623206,4283.253296,-8225.535973,-110.241144,11,8,9,193
15,PG05,-24128.468204,3650.210784,-10796.490545,-110.242521,11,8,9,193
30,PG05,-23037.885633,2841.382381,-13184.222829,-110.243722,10,8,9,193
45,PG05,-21774.286415,1841.825983,-15348.482886,-110.245103,10,8,9,193
60,PG05,-20379.590087,644.249636,-17252.836801,-110.246623,10,8,9,193
75,PG05,-18897.661657,-750.534322,-18865.238821,-110.247932,10,8,9,193
90,PG05,-17372.693182,-2333.460285,-20158.533565,-110.249249,9,8,9,193
105,PG05,-15847.588790,-4087.370425,-21110.882926,-110.250646,9,9,9,193
120,PG05,-14362.411307,-5987.479938,-21706.113071,-110.251889,9,9,9,192
135,PG05,-12952.946309,-8002.130153,-21933.977538,-110.252800,8,9,8,192
150,PG05,-11649.435306,-10093.803311,-21790.333024,-110.254095,8,8,8,192
165,PG05,-10475.524033,-12220.363668,-21277.224971,-110.255368,8,8,7,192
180,PG05,-9447.464564,-14336.481544,-20402.880655,-110.256566,7,8,7,192
195,PG05,-8573.601432,-16395.190150,-19181.608075,-110.258076,7,8,7,191
210,PG05,-7854.162225,-18349.519743,-17633.599775,-110.259481,7,8,7,191
225,PG05,-7281.362547,-20154.150098,-15784.641605,-110.260205,7,8,7,191
240,PG05,-6839.824024,-21767.020595,-13665.727662,-110.262051,7,8,8,191
255,PG05,-6507.292548,-23150.837620,-11312.583964,-110.263380,7,8,8,191
270,PG05,-6255.632511,-24274.421513,-8765.105100,-110.264804,7,8,8,191
285,PG05,-6052.061858,-25113.840043,-6066.709878,-110.265902,7,9,8,191
300,PG05,-5860.582758,-25653.282349,-3263.624029,-110.267457,7,9,8,191
315,PG05,-5643.554069,-25885.636249,-404.100084,-110.268950,7,9,8,191
330,PG05,-5363.344942,-25812.742668,2462.413325,-110.270490,7,9,8,190
345,PG05,-4984.004341,-25445.313221,5286.138535,-110.272412,7,9,8,190
360,PG05,-4472.879227,-24802.510301,8017.856289,-110.273579,7,8,8,190
375,PG05,-3802.114938,-23911.202809,10609.796126,-110.274885,7,8,8,190
390,PG05,-2949.974976,-22804.924518,13016.511394,-110.276636,7,8,8,190
405,PG05,-1901.924027,-21522.574495,15195.719980,-110.277871,8,8,8,190
420,PG05,-651.427166,-20106.910778,17109.092154,-110.279047,8,8,8,190
435,PG05,799.570229,-18602.897649,18722.967678,-110.280432,8,8,8,190
450,PG05,2440.504079,-17055.973552,20008.985749,-110.281749,8,8,8,190
465,PG05,4252.402404,-15510.310716,20944.613458,-110.283148,8,8,8,190
480,PG05,6208.438157,-14007.137755,21513.560809,-110.284503,8,8,8,190
495,PG05,8274.802231,-12583.194025,21706.073372,-110.285657,8,8,7,189
510,PG05,10411.861159,-11269.378686,21519.096770,-110.286890,8,7,7,189
525,PG05,12575.552006,-10089.648811,20956.310546,-110.288158,7,7,6,189
540,PG05,14718.957193,-9060.209885,20028.032253,-110.289266,7,7,6,189
555,PG05,16793.994893,-8189.029312,18750.995799,-110.290424,7,7,6,189
570,PG05,18753.156466,-7475.689609,17148.010981,-110.291559,7,7,7,189
585,PG05,20551.221270,-6911.583642,15247.513741,-110.292951,7,7,7,189
600,PG05,22146.881107,-6480.440088,13083.018811,-110.294009,7,7,7,190
615,PG05,23504.211268,-6159.154052,10692.488098,-110.295331,8,7,7,190
630,PG05,24593.932375,-5918.885862,8117.629356,-110.296503,8,7,8,190
645,PG05,25394.416522,-5726.381080,5403.140379,-110.297922,9,7,8,190
660,PG05,25892.402122,-5545.456957,2595.914207,-110.299119,9,7,8,191
675,PG05,26083.393841,-5338.595185,-255.779364,-110.300238,10,7,7,191
690,PG05,25971.736493,-5068.577926,-3103.121193,-110.301571,10,7,7,192
705,PG05,25570.364268,-4700.103750,-5897.565184,-110.303081,10,7,8,192
720,PG05,24900.238731,-4201.322100,-8591.642743,-110.304329,10,7,8,192
735,PG05,23989.500157,-3545.229087,-11139.737556,-110.305385,10,7,8,192
750,PG05,22872.366748,-2710.873514,-13498.820155,-110.307476,10,7,8,193
