time,satellite id,x in m,y in m,z in m,clock error,x-sdev,y-sdev,z-sdev,c-sdev
765,PG05,21587.824677,-1684.329662,-15629.132998,-110.308221,10,7,8,193
780,PG05,20178.158670,-459.402378,-17494.817928,-110.309792,9,7,8,192
795,PG05,18687.377735,961.960172,-19064.478971,-110.311012,9,7,8,192
810,PG05,17159.593688,2569.560228,-20311.674408,-110.312602,9,8,8,192
825,PG05,15637.411196,4345.154024,-21215.332849,-110.313706,9,8,8,191
840,PG05,14160.387311,6262.957937,-21760.088812,-110.315157,8,8,8,191
855,PG05,12763.615848,8290.439478,-21936.533892,-110.316142,8,8,7,191
870,PG05,11476.487614,10389.365588,-21741.380175,-110.317475,8,8,7,191
885,PG05,10321.671547,12517.071732,-21177.533109,-110.318840,7,8,6,191
900,PG05,9314.354390,14627.907404,-20254.071593,-110.319963,7,7,6,191
915,PG05,8461.767801,16674.807027,-18986.133714,-110.320958,7,7,6,191
930,PG05,7763.021944,18610.930230,-17394.707357,-110.322091,7,7,6,191
945,PG05,7209.253951,20391.312116,-15506.325863,-110.323538,7,7,7,191
960,PG05,6784.088356,21974.462775,-13352.670133,-110.324682,7,8,7,192
975,PG05,6464.395093,23323.855941,-10970.079969,-110.326379,7,8,7,192
990,PG05,6221.319283,24409.249557,-8398.979101,-110.327629,7,8,8,192
1005,PG05,6021.546175,25207.786058,-5683.220208,-110.329126,7,9,8,192
1020,PG05,5828.754775,25704.827424,-2869.358275,-110.331025,7,9,8,192
1035,PG05,5605.205259,25894.489295,-5.862682,-110.332596,7,9,8,192
1050,PG05,5313.398768,25779.849517,2857.719433,-110.333601,7,9,7,192
1065,PG05,4917.743905,25372.818934,5671.634067,-110.335382,7,9,7,192
1080,PG05,4386.162613,24693.675656,8386.809295,-110.336698,7,8,7,192
1095,PG05,3691.569315,23770.277864,10955.744655,-110.338064,7,8,7,192
1110,PG05,2813.161250,22636.983952,13333.382582,-110.339774,7,8,7,192
1125,PG05,1737.464942,21333.321117,15477.942928,-110.341378,7,8,8,191
1140,PG05,459.093224,19902.455023,17351.702075,-110.342462,8,8,8,191
1155,PG05,-1018.820933,18389.521935,18921.698909,-110.344084,8,8,8,192
1170,PG05,-2684.534059,16839.891166,20160.351509,-110.345508,8,8,8,192
1185,PG05,-4517.950929,15297.429086,21045.970516,-110.346774,8,8,8,192
1200,PG05,-6491.223184,13802.835835,21563.157634,-110.347869,8,8,8,192
1215,PG05,-8569.664025,12392.122899,21703.080750,-110.349249,8,8,7,191
1230,PG05,-10712.941707,11095.293465,21463.620353,-110.350052,8,8,7,191
1245,PG05,-12876.502852,9935.278513,20849.385247,-110.351257,8,8,7,192
1260,PG05,-15013.167171,8927.170326,19871.598868,-110.352615,8,7,6,191
1275,PG05,-17074.828483,8077.782155,18547.860663,-110.353998,7,7,7,191
1290,PG05,-19014.193158,7385.548764,16901.789840,-110.355153,7,7,7,191
1305,PG05,-20786.486422,6840.768218,14962.561360,-110.356484,8,7,7,191
1320,PG05,-22351.059266,6426.171204,12764.346086,-110.357325,8,8,8,191
1335,PG05,-23672.833786,6117.791081,10345.668640,-110.358450,8,8,8,191
1350,PG05,-24723.532329,5886.096191,7748.697624,-110.359811,9,8,8,191
1365,PG05,-25482.645348,5697.336242,5018.483513,-110.360843,9,8,8,192
1380,PG05,-25938.104001,5515.047115,2202.159684,-110.362080,10,8,8,192
1395,PG05,-26086.635540,5301.653404,-651.878166,-110.363489,10,8,8,192
1410,PG05,-25933.792117,5020.105464,-3494.799554,-110.364426,10,8,8,192
1425,PG05,-25493.656059,4635.487739,-6278.159874,-110.365970,11,8,8,192
